date,close,volume
9/8/2010,23.87,28013700
9/7/2010,22.3,11588900
9/6/2010,22.28,21341900
9/3/2010,22.1,33322100
9/2/2010,22.72,37229900
9/1/2010,22.8,31838800
8/31/2010,22,56156500
8/30/2010,20.57,16775300
8/27/2010,37.43,5782600
8/26/2010,37.78,13414100
8/25/2010,35.54,10324900
8/24/2010,36.8,7799600
8/23/2010,37.4,8269800
8/20/2010,36.74,9265300
8/19/2010,37.65,12112400
8/18/2010,38.49,12428600
8/17/2010,38.84,10170000
8/16/2010,38.45,0
8/13/2010,38.48,14486200
8/12/2010,35.2,12631400
8/11/2010,37.99,5937600
8/10/2010,38.43,6711500
8/9/2010,38.34,6964100
8/6/2010,36.9,5039600
8/5/2010,36,7156000
8/4/2010,36.32,8803900
8/3/2010,35.25,11222900
8/2/2010,33.68,8540900
7/30/2010,33.52,3920600
7/29/2010,34,4200200
7/28/2010,33.8,4216700
7/27/2010,33.48,2361900
7/26/2010,33.64,5026700
7/23/2010,31.55,2967600
7/22/2010,31.59,2942700
7/21/2010,31.29,4924700
7/20/2010,30.67,6332900
7/19/2010,29.36,4485300
7/16/2010,28,2479200
7/15/2010,27.65,2622200
7/14/2010,27.99,3214600
7/13/2010,27.82,2671000
7/12/2010,27.77,4124700
7/9/2010,27.94,4561000
7/8/2010,26.99,3238500
7/7/2010,26.98,6105900
7/6/2010,26.23,4414300
7/5/2010,25.1,3024900
7/2/2010,25.86,9922000
7/1/2010,26.74,9023900
6/30/2010,29.45,3817600
6/29/2010,28.61,6580800
6/28/2010,29.93,6868200
6/25/2010,30,7173900
6/24/2010,32.71,2305000
6/23/2010,33.2,2967500
6/22/2010,33.18,6438900
6/21/2010,33.74,11775500
6/18/2010,36.72,0
6/17/2010,36.73,4342800
6/11/2010,37.64,7423400
6/10/2010,36.91,2493600
6/9/2010,37.02,2158900
6/8/2010,36.45,2284600
6/7/2010,36.65,2543800
6/4/2010,36.75,2979600
6/3/2010,35.93,5238500
6/2/2010,34.1,4999400
6/1/2010,35.21,3041300
5/31/2010,36.71,5408400
5/28/2010,37.64,7835200
5/27/2010,38.04,3967800
5/26/2010,36.69,1181200
5/25/2010,37.12,1997600
5/24/2010,36.93,2932100
5/21/2010,36.2,1622400
5/20/2010,35.62,1207500
5/19/2010,36.24,2010000
5/18/2010,35.84,3212600
5/17/2010,35.48,1705500
5/14/2010,36.16,3298900
5/13/2010,34.9,3080400
5/12/2010,33.11,4702400
5/11/2010,34.24,3709900
5/10/2010,35,4586100
5/7/2010,37.03,3158900
5/6/2010,37.89,4186100
5/5/2010,37.94,2488700
5/4/2010,37.63,2387500
4/30/2010,37.37,5254500
4/29/2010,38.41,2479900
4/28/2010,38.5,5053300
4/27/2010,37.71,3122200
4/26/2010,37.83,3129000
4/23/2010,38.53,2160300
4/22/2010,38.81,3798500
4/21/2010,38.63,7420100
4/20/2010,36.83,4227000
4/19/2010,36.61,3914300
4/16/2010,35.79,2282800
4/15/2010,35.43,3789400
4/14/2010,35.9,6898900
4/13/2010,34.94,11005100
4/12/2010,37.76,6402900
4/9/2010,37.7,2667600
4/8/2010,37.96,2387100
4/7/2010,38.24,3144800
4/6/2010,37.27,2820900
4/2/2010,37.18,2916200
4/1/2010,37.63,2411800
3/31/2010,37.5,2441200
3/30/2010,37.88,2808000
3/29/2010,37.59,2678200
3/26/2010,37.1,2580500
3/25/2010,36.83,2646000
3/24/2010,37.28,3831700
3/23/2010,37.71,4623600
3/22/2010,36.98,3478100
3/19/2010,36.18,2594800
3/18/2010,35.04,1727100
3/17/2010,35.06,3267600
3/16/2010,33.72,830700
3/15/2010,33.77,1661300
3/12/2010,34,1311100
3/11/2010,34.12,1374000
3/10/2010,33.39,2548200
3/9/2010,33.97,2674800
3/8/2010,34.5,2769200
3/5/2010,32.88,2014900
3/4/2010,32.98,2600800
3/3/2010,33.1,1998700
3/2/2010,33.35,3562000
3/1/2010,32.6,4226800
2/26/2010,32.37,2168200
2/25/2010,32.57,4693700
2/24/2010,33.35,3670800
2/23/2010,33.02,4636700
2/22/2010,30.59,1878700
2/12/2010,30.31,1398400
2/11/2010,30.04,1293900
2/10/2010,30.4,2747100
2/9/2010,29.3,1872300
2/8/2010,28.98,2263700
2/5/2010,29.86,2787700
2/4/2010,30.33,5326800
2/3/2010,29.61,0
2/2/2010,29.61,2343300
2/1/2010,30.19,3736800
1/29/2010,29.05,2946800
1/28/2010,28.28,1733000
1/27/2010,28.49,3542400
1/26/2010,28.34,4594600
1/25/2010,29.47,1998100
1/22/2010,29.51,3666300
1/21/2010,30.32,4393000
1/20/2010,31.24,7773000
1/19/2010,30.27,5720300
1/18/2010,29.7,7840000
1/15/2010,28.62,7845600
1/14/2010,27.38,2962600
1/13/2010,26.99,2974200
1/12/2010,27.11,2103500
1/11/2010,27.02,2754000
1/8/2010,27.18,2840900
1/7/2010,26.78,2936400
1/6/2010,27,3130000
1/5/2010,27.57,3056800
1/4/2010,27.46,7215900
12/31/2009,26.52,4790000
12/30/2009,26.33,0
12/29/2009,26.33,2000900
12/28/2009,26.21,2200900
12/25/2009,26.17,2999500
12/23/2009,25.25,1819500
12/22/2009,24.82,2857400
12/21/2009,26.05,4476600
12/18/2009,25.75,3144600
12/17/2009,25.6,3116700
12/16/2009,26.63,2069600
12/15/2009,27.13,1462200
12/14/2009,27.28,2928500
12/11/2009,26.95,1547900
12/10/2009,26.93,2919000
12/9/2009,27.45,3911500
12/8/2009,27.33,3289500
12/7/2009,27.06,3698500
12/4/2009,26.55,8165900
12/3/2009,27.99,4745600
12/2/2009,28.44,6040600
12/1/2009,27.25,5447100
11/30/2009,26.86,6992700
11/27/2009,24.42,5860500
11/26/2009,24.82,7655900
11/25/2009,26.33,5603200
11/24/2009,25.44,7157600
11/23/2009,26.93,5440300
11/20/2009,26.61,9166900
11/19/2009,27.54,13963600
11/18/2009,26.16,13111800
11/17/2009,23.78,5550100
11/16/2009,23.12,5623900
11/13/2009,22.93,7269300
11/12/2009,21.63,0
11/11/2009,21.63,0
11/10/2009,21.42,8824400
11/9/2009,20.22,3420400
11/6/2009,20.68,5776400
11/5/2009,20.85,3099300
11/4/2009,20.75,3761400
11/3/2009,20.93,7792700
11/2/2009,20.63,7567200
10/30/2009,19.47,4759500
10/29/2009,19.3,3587600
10/28/2009,19.84,3455100
10/27/2009,19.82,5193000
10/26/2009,20.75,4399800
10/23/2009,20.39,4902100
10/22/2009,20.31,4540200
10/21/2009,20.79,9356100
10/20/2009,20.13,6969800
10/19/2009,20.29,7348700
10/16/2009,20.33,6325600
10/15/2009,20.13,6478000
10/14/2009,20.63,11306900
10/13/2009,20.12,14240700
10/12/2009,18.62,5775300
10/9/2009,18.71,9440100
9/30/2009,17.38,4421700
9/29/2009,16.98,3733300
9/28/2009,16.82,4973700
9/25/2009,16.82,3222100
9/24/2009,16.66,3185600
9/23/2009,16.55,5968400
9/22/2009,17.4,8785700
9/21/2009,17.31,5906100
9/18/2009,16.9,6027000
9/17/2009,17.39,6991200
9/16/2009,16.99,6211700
9/15/2009,17.29,11166600
9/14/2009,17.38,11539800
9/11/2009,15.8,4779100
9/10/2009,15.84,3616100
9/9/2009,16.33,3699800
9/8/2009,16.43,3800500
9/7/2009,16.37,6702500
9/4/2009,16.1,4284800
9/3/2009,15.9,4323800
9/2/2009,15.17,1822200
9/1/2009,15.1,3608600
8/31/2009,14.77,4437900
8/28/2009,15.85,4087100
8/27/2009,16.7,6146100
8/26/2009,16.66,8930100
8/25/2009,16.37,13953900
8/24/2009,16.27,8443900
8/21/2009,15.54,6434500
8/20/2009,14.88,4274200
8/19/2009,14.46,9152300
8/18/2009,14.15,4314700
8/17/2009,13.83,4679300
8/14/2009,15.07,4396800
8/13/2009,15.63,3580200
8/12/2009,15.71,4979200
8/11/2009,16.43,7934800
8/10/2009,15.8,5897900
8/7/2009,15.56,6271600
8/6/2009,16.21,5718800
8/5/2009,16.51,7767100
8/4/2009,16.61,8922600
8/3/2009,16.53,9203700
7/31/2009,16.57,18454200
7/29/2009,15.77,13804700
7/28/2009,15.42,6473900
7/27/2009,15.59,5008400
7/24/2009,15.51,5708600
7/23/2009,15.81,7004500
7/22/2009,15.48,7164100
7/21/2009,15.4,9854300
7/20/2009,16.05,10077300
7/17/2009,16.04,12042900
7/16/2009,16.19,24941400
7/15/2009,15.63,24774500
7/14/2009,14.21,6972200
7/13/2009,13.89,6366600
7/10/2009,14.03,4754500
7/9/2009,14.17,4697300
7/8/2009,14.31,6717500
7/7/2009,13.94,8076600
7/6/2009,13.8,10080200
7/3/2009,14.63,9408500
7/2/2009,14.27,6281500
7/1/2009,14.35,5130800
6/30/2009,14.15,6153200
6/29/2009,14.05,7373800
6/26/2009,14.03,5822300
6/25/2009,14.01,14031800
6/24/2009,13.17,3899900
6/23/2009,13.18,6672400
6/22/2009,13,7432800
6/18/2009,13.09,7382300
6/17/2009,13.42,9858200
6/16/2009,12.92,7981800
6/15/2009,12.47,7989200
6/12/2009,12.2,8185000
6/11/2009,14.55,15023600
6/10/2009,13.93,9480000
6/9/2009,13.81,8765600
6/8/2009,13.32,5825600
6/5/2009,13.02,3740900
6/4/2009,13.13,6629600
6/3/2009,13.41,17660400
6/1/2009,13.18,12086700
5/27/2009,12.94,8861300
5/26/2009,12.51,4172300
5/25/2009,12.29,2738200
5/22/2009,12.46,4196100
5/21/2009,12.36,3329900
5/20/2009,12.83,4696700
5/19/2009,12.8,3386300
5/18/2009,12.73,2043000
5/15/2009,12.83,3949600
5/14/2009,12.75,3460100
5/13/2009,12.73,5412600
5/12/2009,12.95,2858800
5/11/2009,12.6,6742000
5/8/2009,13.15,6394800
5/7/2009,13.29,8230800
5/6/2009,13.73,11787400
5/5/2009,13.04,5983000
5/4/2009,13.2,7707700
4/30/2009,12.83,8512300
4/29/2009,13.08,7852400
4/28/2009,12.9,6251300
4/27/2009,12.81,12123300
4/24/2009,13.12,14819700
4/23/2009,12.67,9839000
4/22/2009,12.33,13230700
4/21/2009,11.83,4198700
4/17/2009,11.97,4051400
4/16/2009,12.34,9347900
4/15/2009,11.97,7815700
4/14/2009,11.82,5973000
4/13/2009,11.86,10501800
4/10/2009,11.63,7206100
4/9/2009,10.95,2404300
4/8/2009,10.61,3778100
4/7/2009,11.4,3468600
4/3/2009,11.45,3600900
4/2/2009,11.26,7325800
4/1/2009,11.5,7860500
